* Generated by rew_pipeline.py (source UUID 3cad11fd-e3fa-4108-9c9c-d820def9f39f, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000021 s))
* Measurement: R.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:47
* Note: ; Trace Arithmetic A times B A = R.nofdw.120.green.multipos.fdw6 B = FRX-trimmed.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
36.621094 70.329 0.7634
36.804199 69.671 1.2430
36.987305 69.046 2.7796
37.170410 68.478 4.7452
37.353516 67.978 6.6152
37.536621 67.545 8.0409
37.719727 67.176 9.0100
37.902832 66.888 9.9287
38.085938 66.750 11.2519
38.269043 66.834 12.8434
38.452148 67.095 13.9661
38.635254 67.346 14.1711
38.818359 67.398 13.8874
39.001465 67.195 14.0508
39.184570 66.848 15.2516
39.367676 66.522 17.0307
39.550781 66.265 18.2673
39.733887 65.980 18.6314
39.916992 65.633 19.1630
40.100098 65.407 21.0594
40.283203 65.561 23.7451
40.466309 66.038 25.1248
40.649414 66.437 24.5041
40.832520 66.427 23.5457
41.015625 66.021 24.9033
41.198730 65.669 29.9480
41.381836 65.873 35.8803
41.564941 66.427 38.3095
41.748047 66.738 37.0577
41.931152 66.559 35.2761
42.114258 66.150 36.4322
42.297363 66.169 40.9974
42.480469 66.887 44.6375
42.663574 67.712 44.3873
42.846680 68.041 42.1959
43.029785 67.795 41.9469
43.212891 67.532 46.3778
43.395996 68.083 52.4110
43.579102 69.295 53.1866
43.762207 70.353 47.5104
43.945312 70.857 38.4557
44.128418 70.820 29.6122
44.311523 70.529 24.1544
44.494629 70.536 23.2670
44.677734 71.262 23.9285
44.860840 72.406 22.0812
45.043945 73.389 17.3268
45.227051 73.934 11.5626
45.410156 74.093 6.7336
45.593262 74.138 3.8177
45.776367 74.385 2.1181
45.959473 74.939 -0.2593
46.142578 75.642 -4.5157
46.325684 76.298 -10.4072
46.508789 76.820 -17.0941
46.691895 77.213 -23.9820
46.875000 77.511 -30.9767
47.058105 77.725 -38.2944
47.241211 77.833 -46.1000
47.424316 77.812 -54.2758
47.607422 77.663 -62.4310
47.790527 77.419 -70.0672
47.973633 77.137 -76.7811
48.156738 76.875 -82.4190
48.339844 76.678 -87.1273
48.522949 76.573 -91.2992
48.706055 76.565 -95.4665
48.889160 76.639 -100.1522
49.072266 76.770 -105.6891
49.255371 76.934 -112.0828
49.438477 77.122 -119.0229
49.621582 77.340 -126.0487
49.804688 77.599 -132.7740
49.987793 77.896 -139.0334
50.170898 78.212 -144.8755
50.354004 78.520 -150.4700
50.537109 78.806 -156.0553
50.720215 79.063 -161.9456
50.903320 79.286 -168.4883
51.086426 79.444 -175.9032
51.269531 79.499 175.9015
51.452637 79.418 167.3832
51.635742 79.208 159.2281
51.818848 78.927 152.0453
52.001953 78.672 145.9673
52.185059 78.514 140.4361
52.368164 78.423 134.5627
52.551270 78.279 127.8458
52.734375 77.963 120.5093
52.917480 77.436 113.2797
53.100586 76.759 106.9166
53.283691 76.068 101.6858
53.466797 75.467 97.0768
53.649902 74.926 92.2712
53.833008 74.294 87.0593
54.016113 73.436 82.1901
54.199219 72.354 78.9641
54.382324 71.232 78.3384
54.565430 70.344 79.7857
54.748535 69.771 81.4068
54.931641 69.323 82.0468
55.114746 68.818 82.2812
55.297852 68.279 83.1364
55.480957 67.834 84.6639
55.664062 67.499 86.0459
55.847168 67.151 87.0389
56.030273 66.744 88.4307
56.213379 66.437 90.6364
56.396484 66.383 92.2975
56.579590 66.410 91.6108
56.762695 66.146 88.8691
56.945801 65.376 86.7331
57.128906 64.336 88.9879
57.312012 63.902 96.5147
57.495117 64.575 102.5105
