* Generated by rew_pipeline.py (source UUID 6c5ff0b0-8c32-4d9a-87d3-d1c755ad89b3, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000021 s))
* Measurement: LR.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:47
* Note: ; Vector average of L.filtered.120.green.multipos.fdw6, R.filtered.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
37.536621 73.369 13.2681
37.719727 72.779 11.7654
37.902832 72.165 11.0375
38.085938 71.603 11.2340
38.269043 71.108 11.7479
38.452148 70.642 12.5884
38.635254 70.189 13.5227
38.818359 69.739 14.9211
39.001465 69.368 16.3952
39.184570 69.057 17.7342
39.367676 68.802 18.4827
39.550781 68.488 19.0120
39.733887 68.159 19.9293
39.916992 67.836 21.8053
40.100098 67.688 24.5417
40.283203 67.685 27.1453
40.466309 67.763 29.0534
40.649414 67.721 30.1880
40.832520 67.542 31.6252
41.015625 67.285 33.7940
41.198730 67.144 36.9463
41.381836 67.186 39.7696
41.564941 67.339 41.9406
41.748047 67.476 43.4551
41.931152 67.576 45.6788
42.114258 67.770 48.7220
42.297363 68.121 52.1698
42.480469 68.560 54.6470
42.663574 68.850 56.3198
42.846680 68.939 58.0100
43.029785 68.926 60.8456
43.212891 69.142 64.1815
43.395996 69.656 65.8395
43.579102 70.303 64.1671
43.762207 70.777 59.5760
43.945312 70.998 53.9214
44.128418 71.001 49.0141
44.311523 71.016 46.2508
44.494629 71.260 44.9761
44.677734 71.760 43.5951
44.860840 72.290 40.5958
45.043945 72.583 36.3754
45.227051 72.549 31.8879
45.410156 72.240 28.4070
45.593262 71.880 26.3691
45.776367 71.640 25.2321
45.959473 71.581 23.8447
46.142578 71.537 21.6530
46.325684 71.396 19.2981
46.508789 71.114 17.5278
46.691895 70.792 16.8181
46.875000 70.482 16.3357
47.058105 70.121 15.3831
47.241211 69.548 13.6293
47.424316 68.654 12.3823
47.607422 67.565 13.1854
47.790527 66.646 17.3478
47.973633 66.369 22.9591
48.156738 66.630 26.9876
48.339844 67.019 28.5385
48.522949 67.195 29.4891
48.706055 67.217 31.6343
48.889160 67.227 35.4896
49.072266 67.401 39.9974
49.255371 67.617 43.8702
49.438477 67.794 47.1967
49.621582 67.939 50.5203
49.804688 68.296 53.8642
49.987793 68.966 55.5533
50.170898 69.843 54.4281
50.354004 70.667 50.4505
50.537109 71.278 45.1312
50.720215 71.634 39.8150
50.903320 71.793 35.8434
51.086426 71.916 33.4190
51.269531 72.114 31.9337
51.452637 72.408 30.0282
51.635742 72.644 26.9774
51.818848 72.709 23.0006
52.001953 72.543 18.9566
52.185059 72.251 15.9006
52.368164 72.001 14.1519
52.551270 71.972 13.2435
52.734375 72.161 11.8178
52.917480 72.417 9.3478
53.100586 72.573 5.9466
53.283691 72.553 2.5221
53.466797 72.403 -0.3780
53.649902 72.207 -2.4589
53.833008 72.079 -4.1649
54.016113 72.015 -6.0773
54.199219 71.992 -8.5982
54.382324 71.917 -11.7363
54.565430 71.765 -15.1144
54.748535 71.504 -18.4323
54.931641 71.168 -21.1982
55.114746 70.802 -23.3831
55.297852 70.482 -24.9868
55.480957 70.250 -26.7579
55.664062 70.052 -29.1412
55.847168 69.796 -32.4046
56.030273 69.372 -35.7776
56.213379 68.827 -38.2561
56.396484 68.306 -39.0116
56.579590 68.084 -38.7032
56.762695 68.165 -39.3532
56.945801 68.329 -42.1845
57.128906 68.255 -46.7540
57.312012 67.847 -51.1062
57.495117 67.224 -53.4785
57.678223 66.783 -52.9470
57.861328 66.878 -51.9302
58.044434 67.368 -53.3415
58.227539 67.842 -58.0946
58.410645 68.013 -64.4997
58.593750 67.895 -70.7768
58.776855 67.640 -75.5321
58.959961 67.547 -78.7790
59.143066 67.721 -81.9090
59.326172 68.089 -86.0800
59.509277 68.425 -91.4329
59.692383 68.643 -96.8612
59.875488 68.769 -101.6288
60.058594 68.931 -105.2293
60.241699 69.250 -108.3333
60.424805 69.735 -111.5744
60.607910 70.354 -115.5626
60.791016 71.028 -120.2300
60.974121 71.744 -125.4282
61.157227 72.457 -130.9678
61.340332 73.164 -136.6398
61.523438 73.834 -142.3553
61.706543 74.475 -147.9383
61.889648 75.093 -153.5519
62.072754 75.693 -159.3068
62.255859 76.258 -165.4844
62.438965 76.750 -172.0235
62.622070 77.158 -178.7783
62.805176 77.475 174.5616
62.988281 77.740 168.1588
63.171387 77.966 161.9626
63.354492 78.155 155.8435
63.537598 78.265 149.6913
63.720703 78.267 143.7536
63.903809 78.163 138.3642
64.086914 78.020 133.9260
64.270020 77.945 130.3242
64.453125 77.998 127.0466
64.636230 78.156 123.3885
64.819336 78.307 119.1663
65.002441 78.368 114.7526
65.185547 78.310 110.7790
65.368652 78.204 107.7169
65.551758 78.143 105.4194
65.734863 78.194 103.2818
65.917969 78.326 100.5283
66.101074 78.462 96.9243
66.284180 78.538 92.5807
66.467285 78.530 87.9151
66.650391 78.453 83.1851
66.833496 78.315 78.5818
67.016602 78.131 74.1287
67.199707 77.882 69.8484
67.382812 77.561 65.7880
67.565918 77.147 61.9893
67.749023 76.638 58.6109
67.932129 76.029 55.8093
68.115234 75.352 53.9619
68.298340 74.674 53.2565
68.481445 74.095 53.7246
68.664551 73.693 54.7408
68.847656 73.449 55.6605
69.030762 73.290 56.0204
69.213867 73.128 55.9916
69.396973 72.954 55.7710
69.580078 72.768 55.4526
69.763184 72.590 54.8877
69.946289 72.376 54.0282
70.129395 72.126 53.1385
70.312500 71.849 52.5027
70.495605 71.621 52.2520
70.678711 71.459 51.9350
70.861816 71.316 51.2717
71.044922 71.087 50.2294
71.228027 70.720 49.5182
71.411133 70.266 49.5972
71.594238 69.833 50.5580
71.777344 69.490 51.4935
71.960449 69.144 51.7950
72.143555 68.677 51.5791
72.326660 68.026 51.9936
72.509766 67.343 54.0454
72.692871 66.825 57.6447
72.875977 66.583 61.3807
73.059082 66.408 64.1969
73.242188 66.122 66.7533
73.425293 65.677 70.3775
73.608398 65.292 75.8890
73.791504 65.118 82.2216
73.974609 65.115 88.3054
74.157715 65.106 94.2426
74.340820 65.177 101.5521
74.523926 65.623 109.9904
74.707031 66.607 117.4107
74.890137 67.858 121.6734
75.073242 69.056 123.3131
75.256348 70.073 123.5023
75.439453 70.945 123.3552
75.622559 71.752 122.9956
75.805664 72.524 122.3400
75.988770 73.255 121.1362
76.171875 73.913 119.5261
76.354980 74.509 117.6648
76.538086 75.054 115.6970
76.721191 75.575 113.6149
76.904297 76.057 111.3763
77.087402 76.494 109.0632
77.270508 76.871 106.7864
77.453613 77.207 104.7196
77.636719 77.525 102.7978
77.819824 77.843 100.9285
78.002930 78.163 98.8886
78.186035 78.472 96.6341
78.369141 78.764 94.1027
78.552246 79.028 91.3575
78.735352 79.261 88.4200
78.918457 79.447 85.3758
79.101562 79.581 82.3453
79.284668 79.658 79.4958
79.467773 79.703 76.9630
79.650879 79.737 74.7029
79.833984 79.782 72.5917
80.017090 79.834 70.4032
80.200195 79.872 68.0858
80.383301 79.878 65.6724
80.566406 79.849 63.3767
80.749512 79.812 61.2749
80.932617 79.785 59.3539
81.115723 79.783 57.4392
81.298828 79.785 55.4040
81.481934 79.771 53.2100
81.665039 79.716 50.9564
81.848145 79.627 48.7948
82.031250 79.513 46.7793
82.214355 79.396 44.9140
82.397461 79.279 43.0861
82.580566 79.154 41.2900
82.763672 79.010 39.5268
82.946777 78.846 37.9365
83.129883 78.678 36.5298
83.312988 78.520 35.2714
83.496094 78.379 33.9495
83.679199 78.230 32.4283
83.862305 78.046 30.6809
84.045410 77.793 28.8853
84.228516 77.475 27.3113
84.411621 77.108 26.1644
84.594727 76.727 25.5611
84.777832 76.344 25.4647
84.960938 75.974 25.9504
85.144043 75.631 27.0665
85.327148 75.367 28.9015
85.510254 75.239 31.1196
85.693359 75.270 33.2138
85.876465 75.418 34.6079
86.059570 75.609 35.2236
86.242676 75.800 35.1801
86.425781 75.976 34.7203
86.608887 76.145 33.8740
86.791992 76.287 32.6557
86.975098 76.382 31.1380
87.158203 76.405 29.5479
87.341309 76.377 28.1432
87.524414 76.328 26.9580
87.707520 76.290 25.8624
87.890625 76.250 24.6125
88.073730 76.187 23.2480
88.256836 76.094 21.8743
88.439941 76.003 20.6222
88.623047 75.944 19.2143
88.806152 75.896 17.3150
88.989258 75.790 14.7155
89.172363 75.543 11.7442
89.355469 75.143 8.9935
89.538574 74.641 7.0210
89.721680 74.148 5.8854
89.904785 73.709 5.0738
90.087891 73.278 4.1679
90.270996 72.741 3.3955
90.454102 72.073 3.8633
90.637207 71.416 6.5289
90.820312 71.045 11.1660
91.003418 71.071 15.6304
91.186523 71.281 18.2965
91.369629 71.385 19.2496
91.552734 71.266 19.8659
91.735840 71.004 21.1663
91.918945 70.752 23.3993
92.102051 70.615 25.7671
92.285156 70.532 27.6302
92.468262 70.425 29.0303
92.651367 70.258 30.6330
92.834473 70.126 32.8854
93.017578 70.118 35.5989
93.200684 70.278 38.1573
93.383789 70.539 40.0398
93.566895 70.839 41.2434
93.750000 71.123 41.9081
93.933105 71.393 42.3162
94.116211 71.650 42.4984
94.299316 71.908 42.5348
94.482422 72.167 42.2461
94.665527 72.407 41.6086
94.848633 72.593 40.5387
95.031738 72.686 39.2971
95.214844 72.685 38.1553
95.397949 72.616 37.4333
95.581055 72.540 37.1123
95.764160 72.479 37.0095
95.947266 72.441 36.9598
96.130371 72.411 37.0015
96.313477 72.433 37.2443
96.496582 72.545 37.4200
96.679688 72.751 37.0298
96.862793 72.957 35.6244
97.045898 73.050 33.4698
97.229004 72.965 31.1941
97.412109 72.732 29.6426
97.595215 72.462 29.0816
97.778320 72.249 29.2013
97.961426 72.100 29.2234
98.144531 71.911 28.9471
98.327637 71.620 28.8361
98.510742 71.258 29.6739
98.693848 70.979 31.6295
98.876953 70.878 33.8978
99.060059 70.918 35.4619
99.243164 70.935 36.0871
99.426270 70.856 36.4777
99.609375 70.709 37.3089
99.792480 70.612 38.7621
99.975586 70.612 40.1972
100.158691 70.659 41.2057
100.341797 70.658 41.8581
100.524902 70.588 42.8697
100.708008 70.523 44.5792
100.891113 70.546 46.8646
101.074219 70.681 49.0347
101.257324 70.854 50.8073
101.440430 71.018 52.2904
101.623535 71.168 53.8594
101.806641 71.367 55.5564
101.989746 71.636 57.1507
102.172852 71.980 58.3748
102.355957 72.360 59.1587
102.539062 72.773 59.5958
102.722168 73.208 59.6473
102.905273 73.662 59.2586
103.088379 74.092 58.3267
103.271484 74.467 57.0115
103.454590 74.770 55.4527
103.637695 75.011 53.8508
103.820801 75.207 52.1608
104.003906 75.358 50.3636
104.187012 75.462 48.4051
104.370117 75.503 46.4208
