* Generated by rew_pipeline.py (source UUID c11b66be-534c-4ea4-ab08-38d8268a4119, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000021 s))
* Measurement: LR.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:47
* Note: ; Vector average of L.nofdw.120.green.multipos.fdw6, R.nofdw.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
75.073242 69.852 100.4834
75.439453 71.715 100.3489
75.805664 73.294 99.1674
76.171875 74.696 96.1590
76.538086 75.855 92.1772
76.904297 76.887 87.7482
77.270508 77.742 82.9716
77.636719 78.431 78.6349
78.002930 79.092 74.3764
78.369141 79.735 69.2500
78.735352 80.286 63.0039
79.101562 80.627 56.0206
79.467773 80.694 49.4966
79.833984 80.622 44.1369
80.200195 80.505 39.2262
80.566406 80.275 34.7625
80.932617 80.025 31.6621
81.298828 79.930 29.2289
81.665039 79.885 26.2753
82.031250 79.768 23.2677
82.397461 79.663 20.5484
82.763672 79.570 17.6628
83.129883 79.428 14.8789
83.496094 79.295 12.0652
83.862305 79.075 8.2922
84.228516 78.567 4.5013
84.594727 77.871 2.5992
84.960938 77.191 3.0826
85.327148 76.720 6.1678
85.693359 76.794 9.9863
86.059570 77.223 11.1427
86.425781 77.645 10.0220
86.791992 78.009 7.4314
87.158203 78.167 3.9264
87.524414 78.142 0.9605
87.890625 78.107 -1.9618
88.256836 77.979 -5.3356
88.623047 77.852 -8.6435
88.989258 77.713 -13.5234
89.355469 77.127 -19.2701
89.721680 76.231 -22.4926
90.087891 75.453 -24.2642
90.454102 74.482 -24.8286
90.820312 73.736 -20.2472
91.186523 73.857 -16.5839
91.552734 73.677 -17.2203
91.918945 72.970 -16.1274
92.285156 72.390 -13.7415
92.651367 71.672 -11.6846
93.017578 70.981 -6.2081
93.383789 71.026 0.5958
93.750000 71.481 4.6720
94.116211 71.951 7.0136
94.482422 72.456 8.3768
94.848633 72.904 8.1299
95.214844 73.051 7.0677
95.581055 72.991 7.0314
95.947266 72.969 7.6548
96.313477 73.046 8.7491
96.679688 73.471 9.2610
97.045898 73.878 6.3610
97.412109 73.691 3.2381
97.778320 73.389 3.3334
98.144531 73.240 3.2439
98.510742 72.761 3.9328
98.876953 72.530 7.9268
99.243164 72.706 9.8437
99.609375 72.590 10.6882
99.975586 72.573 13.1053
100.341797 72.684 14.4451
100.708008 72.619 16.8545
101.074219 72.821 20.9902
101.440430 73.190 24.1513
101.806641 73.595 27.4786
102.172852 74.284 30.2900
102.539062 75.149 31.5364
102.905273 76.134 31.2061
103.271484 77.036 28.7616
103.637695 77.663 25.3754
104.003906 78.102 21.7096
104.370117 78.339 17.5737
104.736328 78.385 13.9171
105.102539 78.409 10.7781
105.468750 78.360 7.4399
105.834961 78.159 4.7218
106.201172 77.925 3.1620
106.567383 77.698 2.4759
106.933594 77.482 2.7650
107.299805 77.322 3.8545
107.666016 77.265 5.4796
108.032227 77.378 7.0123
108.398438 77.594 7.9783
108.764648 77.881 8.7554
109.130859 78.228 9.1371
109.497070 78.557 9.3215
109.863281 78.964 9.5368
110.229492 79.479 8.8607
110.595703 79.997 7.3587
110.961914 80.529 5.1238
111.328125 80.940 1.7100
111.694336 81.098 -1.7268
112.060547 81.189 -4.2881
112.426758 81.329 -6.8856
112.792969 81.415 -9.6298
113.159180 81.478 -11.8133
113.525391 81.618 -13.6710
113.891602 81.843 -15.8465
114.257812 82.091 -18.6757
114.624023 82.286 -21.9799
114.990234 82.412 -25.5761
115.356445 82.432 -29.6413
115.722656 82.306 -33.9893
116.088867 82.059 -38.3551
116.455078 81.671 -42.5002
116.821289 81.147 -45.4412
117.187500 80.658 -46.9450
117.553711 80.236 -48.1075
117.919922 79.801 -48.8187
118.286133 79.466 -48.7977
118.652344 79.232 -48.7359
119.018555 79.023 -48.2779
119.384766 78.944 -47.6387
119.750977 78.922 -48.0689
120.117188 78.809 -49.0365
120.483398 78.710 -49.7373
120.849609 78.670 -50.7774
121.215820 78.545 -52.1997
121.582031 78.323 -53.2386
121.948242 78.098 -53.9428
122.314453 77.842 -54.5124
122.680664 77.548 -54.2159
123.046875 77.343 -52.9552
123.413086 77.256 -51.6999
123.779297 77.242 -50.9713
124.145508 77.269 -51.0074
124.511719 77.263 -51.2481
124.877930 77.302 -50.7846
125.244141 77.457 -50.4260
125.610352 77.585 -50.7626
125.976562 77.709 -51.5077
126.342773 77.861 -53.3912
126.708984 77.872 -55.8799
127.075195 77.812 -57.4154
127.441406 77.811 -58.7559
127.807617 77.700 -60.6114
128.173828 77.499 -62.0096
128.540039 77.409 -63.4638
128.906250 77.311 -65.6024
129.272461 77.117 -67.2029
129.638672 76.937 -68.2712
130.004883 76.679 -69.8246
130.371094 76.259 -71.3264
130.737305 75.808 -72.4477
131.103516 75.314 -73.3316
131.469727 74.772 -72.6618
131.835938 74.417 -70.4550
132.202148 74.187 -68.3947
