* Generated by rew_pipeline.py (source UUID 9e8dedfa-8b56-4da9-abd5-de1186520615, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -0.999958 s))
* Measurement: L.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:46
* Note: ; Trace Arithmetic A times B A = L.nofdw.120.green.multipos.fdw6 B = FLX-trimmed.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.042969 76.333 174.1169
19.226074 76.506 171.1068
19.409180 76.716 168.3694
19.592285 76.931 165.4684
19.775391 77.094 162.2257
19.958496 77.168 158.7028
20.141602 77.144 155.0209
20.324707 77.024 151.2906
20.507812 76.804 147.7215
20.690918 76.492 144.7481
20.874023 76.148 142.9318
21.057129 75.902 142.5221
21.240234 75.881 142.9691
21.423340 76.091 143.1563
21.606445 76.401 142.3837
21.789551 76.668 140.8467
21.972656 76.848 139.1762
22.155762 76.993 137.7465
22.338867 77.172 136.3377
22.521973 77.389 134.4077
22.705078 77.581 131.6782
22.888184 77.689 128.3716
23.071289 77.710 124.9499
23.254395 77.695 121.7221
23.437500 77.689 118.6855
23.620605 77.694 115.7323
23.803711 77.680 112.9744
23.986816 77.644 110.7581
24.169922 77.643 109.2683
24.353027 77.746 108.0880
24.536133 77.941 106.3438
24.719238 78.109 103.4532
24.902344 78.120 99.5881
25.085449 77.922 95.4707
25.268555 77.573 91.8667
25.451660 77.212 89.0604
25.634766 76.960 86.6155
25.817871 76.820 83.8278
26.000977 76.697 80.4978
26.184082 76.505 77.0959
26.367188 76.238 74.2536
26.550293 75.942 72.1742
26.733398 75.632 70.5201
26.916504 75.234 68.9676
27.099609 74.649 67.8505
27.282715 73.886 68.1323
27.465820 73.146 70.4510
27.648926 72.704 73.6662
27.832031 72.560 75.1708
28.015137 72.375 73.5771
28.198242 71.811 69.7242
28.381348 70.709 65.6726
28.564453 69.119 63.9776
28.747559 67.356 67.1024
28.930664 66.011 75.6016
29.113770 65.503 86.7509
29.296875 65.747 97.9674
29.479980 66.649 108.4651
29.663086 68.158 116.5911
29.846191 69.941 120.7768
30.029297 71.613 121.4532
30.212402 72.985 120.0514
30.395508 74.043 117.7577
30.578613 74.840 115.1977
30.761719 75.436 112.5855
30.944824 75.875 109.9806
31.127930 76.195 107.4500
31.311035 76.437 105.0599
31.494141 76.646 102.7945
31.677246 76.843 100.5601
31.860352 77.025 98.3031
32.043457 77.180 96.0943
32.226562 77.306 94.0557
32.409668 77.421 92.2035
32.592773 77.531 90.4025
32.775879 77.625 88.5186
32.958984 77.686 86.6018
33.142090 77.725 84.8591
33.325195 77.793 83.3993
33.508301 77.942 82.0096
33.691406 78.167 80.2833
33.874512 78.402 78.0349
34.057617 78.580 75.5194
34.240723 78.691 73.2145
34.423828 78.794 71.3710
34.606934 78.958 69.7055
34.790039 79.190 67.5976
34.973145 79.416 64.6710
35.156250 79.557 61.1172
35.339355 79.591 57.4854
35.522461 79.566 54.2206
35.705566 79.558 51.2971
35.888672 79.591 48.2546
36.071777 79.612 44.6591
36.254883 79.532 40.5081
36.437988 79.304 36.1970
36.621094 78.950 32.1784
36.804199 78.541 28.6135
36.987305 78.139 25.2701
37.170410 77.737 21.8145
37.353516 77.276 18.2423
37.536621 76.703 14.9912
37.719727 76.025 12.6403
37.902832 75.300 11.4552
38.085938 74.580 11.1735
38.269043 73.852 11.3450
38.452148 73.066 11.9127
38.635254 72.245 13.2618
38.818359 71.522 15.5204
39.001465 71.040 17.8818
39.184570 70.767 19.1989
39.367676 70.530 19.3468
39.550781 70.204 19.4116
39.733887 69.831 20.6614
39.916992 69.556 23.3663
40.100098 69.442 26.5505
40.283203 69.367 29.2514
40.466309 69.178 31.6074
40.649414 68.878 34.3383
40.832520 68.615 37.5203
41.015625 68.493 40.2119
41.198730 68.435 41.6840
41.381836 68.317 42.6196
41.564941 68.171 44.6294
41.748047 68.226 48.5695
41.931152 68.660 53.2396
42.114258 69.311 56.7656
42.297363 69.839 58.9739
42.480469 70.063 61.2225
42.663574 70.083 64.8400
42.846680 70.170 69.6755
43.029785 70.481 73.8248
43.212891 70.895 75.5113
43.395996 71.215 74.6413
43.579102 71.386 72.2663
43.762207 71.494 69.5348
43.945312 71.673 67.0841
44.128418 71.985 64.9341
44.311523 72.381 62.8450
44.494629 72.744 60.7231
44.677734 72.968 58.6855
44.860840 72.995 56.9140
45.043945 72.812 55.5699
45.227051 72.438 54.8293
45.410156 71.925 54.9416
45.593262 71.358 56.2242
45.776367 70.845 59.0152
45.959473 70.516 63.6328
46.142578 70.538 70.1332
46.325684 71.087 77.5984
46.508789 72.166 83.9515
46.691895 73.508 87.5013
46.875000 74.781 88.1787
47.058105 75.792 86.9779
47.241211 76.522 85.0136
47.424316 77.065 82.9771
47.607422 77.552 80.9109
47.790527 78.057 78.3860
47.973633 78.557 75.0819
48.156738 78.979 71.2386
48.339844 79.285 67.5658
48.522949 79.512 64.7717
48.706055 79.756 63.0357
48.889160 80.091 61.8063
49.072266 80.496 60.2569
49.255371 80.881 58.0023
49.438477 81.186 55.2795
49.621582 81.434 52.5461
49.804688 81.721 49.9592
49.987793 82.123 47.1616
50.170898 82.628 43.6015
50.354004 83.145 39.0547
50.537109 83.577 33.7723
50.720215 83.871 28.2321
50.903320 84.026 22.8302
51.086426 84.074 17.7066
51.269531 84.050 12.7548
51.452637 83.964 7.7853
51.635742 83.812 2.7146
51.818848 83.589 -2.3644
52.001953 83.306 -7.2549
52.185059 82.984 -11.7815
52.368164 82.642 -15.8599
52.551270 82.289 -19.4772
52.734375 81.924 -22.6434
52.917480 81.552 -25.3984
53.100586 81.177 -27.8601
53.283691 80.793 -30.1999
53.466797 80.374 -32.4825
53.649902 79.896 -34.5027
53.833008 79.381 -35.8341
54.016113 78.917 -36.1878
54.199219 78.616 -35.8799
54.382324 78.506 -35.8123
54.565430 78.486 -36.7132
54.748535 78.409 -38.5077
54.931641 78.204 -40.4893
55.114746 77.914 -41.9426
55.297852 77.654 -42.7437
55.480957 77.505 -43.5085
55.664062 77.420 -44.9735
55.847168 77.283 -47.2235
56.030273 77.014 -49.6212
56.213379 76.648 -51.3428
56.396484 76.309 -52.0582
