* Generated by rew_pipeline.py (source UUID a991554c-26c7-4668-8b42-31ccc9447062, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000015 s))
* Measurement: R.nofdw.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:46
* Note: ; Copy of R.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from RLand L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0108 ms (-3.7 mm, -0.15 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
71.044922 73.735 31.8646
71.411133 73.046 33.8656
71.777344 72.680 37.0615
72.143555 71.979 40.3418
72.509766 71.219 46.6585
72.875977 70.947 54.3377
73.242188 71.524 62.7767
73.608398 71.832 67.8772
73.974609 73.048 75.0659
74.340820 73.705 81.3044
74.707031 74.812 86.6921
75.073242 76.415 86.4795
75.439453 77.875 86.5175
75.805664 78.780 84.6301
76.171875 80.367 80.6885
76.538086 81.215 78.1965
76.904297 82.179 73.0119
77.270508 83.184 68.3032
77.636719 83.990 63.1476
78.002930 84.711 57.6616
78.369141 85.349 52.3338
78.735352 86.103 45.5810
79.101562 86.882 36.8289
79.467773 87.322 27.3785
79.833984 87.642 17.2544
80.200195 87.628 6.5372
80.566406 87.377 -3.8137
80.932617 86.920 -13.6284
81.298828 86.176 -22.7847
81.665039 85.283 -30.4934
82.031250 84.286 -37.8061
82.397461 83.228 -43.4878
82.763672 81.953 -48.5152
83.129883 80.850 -50.7574
83.496094 79.653 -50.5360
83.862305 79.033 -51.8729
84.228516 78.451 -54.2965
84.594727 77.474 -57.3470
84.960938 76.479 -58.9028
85.327148 74.723 -59.9621
85.693359 73.451 -54.3730
86.059570 73.112 -46.9958
86.425781 73.077 -45.9337
86.791992 73.147 -45.9213
87.158203 72.903 -48.7791
87.524414 72.572 -53.5491
87.890625 72.007 -51.5144
88.256836 71.230 -52.7954
88.623047 70.717 -58.4344
88.989258 71.310 -58.7313
89.355469 69.806 -72.1126
89.721680 66.812 -97.2111
90.087891 68.665 -111.4543
90.454102 68.104 -136.8371
90.820312 65.357 164.6741
91.186523 67.862 127.1551
91.552734 70.246 102.3943
91.918945 71.904 91.9376
92.285156 73.868 81.0761
92.651367 75.214 71.5555
93.017578 75.640 62.0465
93.383789 76.287 53.8714
93.750000 76.413 45.9913
94.116211 76.745 41.7528
94.482422 76.986 35.8545
94.848633 77.438 29.7896
95.214844 77.210 24.8417
95.581055 76.868 20.5383
95.947266 76.727 20.2632
96.313477 76.478 18.4229
96.679688 77.191 17.6843
97.045898 77.297 13.5321
97.412109 77.190 7.3477
97.778320 76.949 3.3974
98.144531 76.411 0.7190
98.510742 75.571 -2.9540
98.876953 75.154 0.3497
99.243164 74.825 0.2155
99.609375 74.106 1.5431
99.975586 73.782 0.4420
100.341797 73.333 5.6975
100.708008 72.900 7.8347
101.074219 72.382 12.4754
101.440430 72.675 20.5778
101.806641 73.100 26.4930
102.172852 73.917 30.8396
102.539062 74.850 35.5556
102.905273 76.169 34.5357
103.271484 76.961 33.3932
103.637695 77.559 30.3412
104.003906 78.017 27.2282
104.370117 78.268 24.3693
104.736328 78.616 22.2768
105.102539 78.813 20.8692
105.468750 78.974 18.5264
105.834961 78.883 15.3726
106.201172 78.999 15.9119
106.567383 78.958 14.8720
106.933594 79.201 13.5169
107.299805 79.512 13.9604
107.666016 79.633 13.8721
108.032227 79.863 12.4647
108.398438 80.059 11.5899
108.764648 80.250 10.6902
109.130859 80.398 10.3958
109.497070 80.562 10.6231
109.863281 80.961 10.8020
