* Generated by rew_pipeline.py (derived directly from its own WAV, phase referenced to its peak (sample 8192))
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
78.002930 -1.305 22.9967
78.369141 -1.388 23.3464
78.735352 -1.472 23.7898
79.101562 -1.550 24.3354
79.467773 -1.621 24.9619
79.833984 -1.680 25.6521
80.200195 -1.728 26.3928
80.566406 -1.765 27.1680
80.932617 -1.789 27.9664
81.298828 -1.800 28.7773
81.665039 -1.799 29.5901
82.031250 -1.786 30.3960
82.397461 -1.761 31.1858
82.763672 -1.725 31.9510
83.129883 -1.677 32.6823
83.496094 -1.617 33.3711
83.862305 -1.548 34.0092
84.228516 -1.469 34.5864
84.594727 -1.381 35.0964
84.960938 -1.285 35.5280
85.327148 -1.183 35.8710
85.693359 -1.075 36.1180
86.059570 -0.965 36.2479
86.425781 -0.854 36.2643
86.791992 -0.750 36.1466
87.158203 -0.654 35.9210
87.524414 -0.575 35.6002
87.890625 -0.512 35.2420
88.256836 -0.465 34.8691
88.623047 -0.430 34.5269
88.989258 -0.403 34.2042
89.355469 -0.379 33.9119
89.721680 -0.359 33.6311
90.087891 -0.339 33.3583
90.454102 -0.321 33.0836
90.820312 -0.304 32.8026
91.186523 -0.288 32.5100
91.552734 -0.273 32.2030
91.918945 -0.260 31.8778
92.285156 -0.248 31.5316
92.651367 -0.237 31.1606
93.017578 -0.229 30.7596
93.383789 -0.222 30.3242
93.750000 -0.218 29.8420
94.116211 -0.219 29.3124
94.482422 -0.225 28.7125
94.848633 -0.241 28.0581
95.214844 -0.271 27.3319
95.581055 -0.320 26.5780
95.947266 -0.387 25.8157
96.313477 -0.476 25.0859
96.679688 -0.580 24.4273
97.045898 -0.698 23.8406
97.412109 -0.825 23.3480
97.778320 -0.959 22.9317
98.144531 -1.097 22.5975
98.510742 -1.238 22.3316
98.876953 -1.382 22.1334
99.243164 -1.526 21.9954
99.609375 -1.672 21.9155
99.975586 -1.818 21.8896
100.341797 -1.964 21.9157
100.708008 -2.110 21.9910
101.074219 -2.256 22.1137
101.440430 -2.401 22.2818
101.806641 -2.545 22.4936
102.172852 -2.687 22.7474
102.539062 -2.829 23.0416
102.905273 -2.969 23.3748
103.271484 -3.107 23.7459
103.637695 -3.243 24.1535
104.003906 -3.378 24.5968
104.370117 -3.510 25.0743
104.736328 -3.640 25.5854
105.102539 -3.768 26.1284
105.468750 -3.892 26.7028
105.834961 -4.015 27.3070
106.201172 -4.134 27.9406
106.567383 -4.251 28.6021
106.933594 -4.364 29.2913
107.299805 -4.474 30.0063
107.666016 -4.581 30.7472
108.032227 -4.685 31.5117
108.398438 -4.785 32.2999
108.764648 -4.881 33.1097
109.130859 -4.974 33.9410
109.497070 -5.063 34.7920
109.863281 -5.148 35.6623
110.229492 -5.229 36.5506
110.595703 -5.306 37.4561
110.961914 -5.378 38.3778
111.328125 -5.447 39.3147
111.694336 -5.511 40.2661
112.060547 -5.571 41.2300
112.426758 -5.626 42.2066
112.792969 -5.676 43.1923
113.159180 -5.722 44.1863
113.525391 -5.762 45.1859
113.891602 -5.798 46.1879
114.257812 -5.829 47.1911
114.624023 -5.855 48.1936
114.990234 -5.877 49.1938
115.356445 -5.894 50.1915
115.722656 -5.908 51.1853
116.088867 -5.917 52.1750
116.455078 -5.923 53.1594
116.821289 -5.924 54.1380
117.187500 -5.922 55.1101
117.553711 -5.916 56.0748
117.919922 -5.907 57.0315
118.286133 -5.894 57.9791
118.652344 -5.878 58.9175
119.018555 -5.858 59.8453
119.384766 -5.835 60.7625
119.750977 -5.809 61.6679
120.117188 -5.780 62.5611
120.483398 -5.748 63.4418
120.849609 -5.713 64.3087
121.215820 -5.676 65.1623
121.582031 -5.636 66.0010
121.948242 -5.593 66.8252
122.314453 -5.548 67.6341
122.680664 -5.501 68.4270
123.046875 -5.452 69.2044
123.413086 -5.400 69.9649
123.779297 -5.347 70.7094
124.145508 -5.292 71.4368
124.511719 -5.236 72.1472
124.877930 -5.178 72.8409
125.244141 -5.119 73.5168
125.610352 -5.059 74.1762
125.976562 -4.997 74.8180
126.342773 -4.935 75.4426
126.708984 -4.871 76.0504
127.075195 -4.807 76.6407
127.441406 -4.743 77.2148
127.807617 -4.677 77.7719
128.173828 -4.612 78.3127
128.540039 -4.546 78.8376
128.906250 -4.480 79.3461
129.272461 -4.414 79.8397
129.638672 -4.348 80.3177
130.004883 -4.282 80.7808
130.371094 -4.216 81.2298
130.737305 -4.150 81.6643
131.103516 -4.085 82.0855
131.469727 -4.020 82.4935
131.835938 -3.955 82.8885
132.202148 -3.891 83.2716
132.568359 -3.828 83.6427
132.934570 -3.765 84.0025
133.300781 -3.702 84.3514
133.666992 -3.641 84.6898
134.033203 -3.580 85.0183
134.399414 -3.520 85.3371
134.765625 -3.461 85.6467
135.131836 -3.402 85.9478
135.498047 -3.344 86.2406
135.864258 -3.287 86.5257
136.230469 -3.231 86.8037
136.596680 -3.176 87.0748
136.962891 -3.122 87.3396
137.329102 -3.069 87.5986
137.695312 -3.016 87.8521
138.061523 -2.964 88.1007
138.427734 -2.914 88.3446
138.793945 -2.864 88.5843
139.160156 -2.815 88.8202
139.526367 -2.767 89.0528
139.892578 -2.719 89.2824
140.258789 -2.673 89.5095
140.625000 -2.627 89.7346
140.991211 -2.582 89.9577
141.357422 -2.537 90.1795
141.723633 -2.493 90.4002
142.089844 -2.450 90.6199
142.456055 -2.408 90.8395
142.822266 -2.366 91.0587
143.188477 -2.324 91.2778
143.554688 -2.283 91.4977
143.920898 -2.242 91.7177
144.287109 -2.202 91.9387
144.653320 -2.161 92.1610
145.019531 -2.121 92.3838
145.385742 -2.081 92.6080
145.751953 -2.041 92.8339
146.118164 -2.001 93.0604
146.484375 -1.961 93.2881
146.850586 -1.921 93.5172
147.216797 -1.880 93.7465
147.583008 -1.839 93.9768
147.949219 -1.797 94.2078
148.315430 -1.755 94.4383
148.681641 -1.713 94.6691
149.047852 -1.670 94.8996
149.414062 -1.626 95.1286
149.780273 -1.581 95.3567
150.146484 -1.535 95.5831
150.512695 -1.489 95.8065
150.878906 -1.441 96.0274
151.245117 -1.392 96.2446
151.611328 -1.343 96.4571
151.977539 -1.292 96.6647
152.343750 -1.240 96.8665
152.709961 -1.186 97.0610
153.076172 -1.132 97.2479
153.442383 -1.076 97.4259
153.808594 -1.019 97.5930
154.174805 -0.960 97.7480
154.541016 -0.900 97.8897
154.907227 -0.838 98.0153
155.273438 -0.775 98.1211
155.639648 -0.711 98.2063
156.005859 -0.646 98.2692
156.372070 -0.579 98.2997
156.738281 -0.514 98.2989
157.104492 -0.449 98.2718
157.470703 -0.385 98.2019
157.836914 -0.324 98.0909
158.203125 -0.268 97.9570
158.569336 -0.215 97.7907
158.935547 -0.168 97.5937
159.301758 -0.129 97.3839
159.667969 -0.097 97.1730
160.034180 -0.070 96.9655
160.400391 -0.049 96.7614
160.766602 -0.034 96.5752
161.132812 -0.023 96.4155
161.499023 -0.015 96.2737
161.865234 -0.009 96.1495
162.231445 -0.006 96.0506
162.597656 -0.004 95.9722
162.963867 -0.002 95.9070
163.330078 -0.001 95.8588
163.696289 -0.001 95.8257
164.062500 -0.000 95.8030
164.428711 -0.000 95.7911
164.794922 -0.000 95.7894
165.161133 -0.000 95.7959
165.527344 -0.000 95.8099
165.893555 -0.000 95.8310
166.259766 -0.000 95.8586
166.625977 -0.000 95.8919
166.992188 -0.000 95.9306
167.358398 0.000 95.9744
167.724609 0.000 96.0228
168.090820 -0.000 96.0756
168.457031 0.000 96.1326
168.823242 -0.000 96.1934
169.189453 0.000 96.2578
169.555664 -0.000 96.3257
169.921875 0.000 96.3969
170.288086 -0.000 96.4712
170.654297 -0.000 96.5485
171.020508 0.000 96.6285
171.386719 0.000 96.7112
171.752930 0.000 96.7965
172.119141 0.000 96.8843
172.485352 0.000 96.9744
172.851562 0.000 97.0667
173.217773 0.000 97.1612
173.583984 0.000 97.2577
173.950195 0.000 97.3562
174.316406 0.000 97.4566
174.682617 0.000 97.5589
175.048828 -0.000 97.6629
